日期,换手率
2009-09-30,1.5433818181818182
2009-10-31,2.9383470588235294
2009-11-30,4.598165
2009-12-31,1.6053608695652173
2010-01-31,4.09977619047619
2010-02-28,3.4059666666666666
2010-03-31,1.9737454545454545
2010-04-30,2.4547095238095236
2010-05-31,1.3420999999999998
2010-06-30,1.244442105263158
2010-07-31,1.0712826086956522
2010-08-31,1.2429619047619047
2010-09-30,1.1063736842105263
2010-10-31,2.239735294117647
2010-11-30,2.4384142857142854
2010-12-31,2.244291304347826
2011-01-31,2.2164200000000003
2011-02-28,1.59476
2011-03-31,2.4060434782608695
2011-04-30,0.9367300000000001
2011-05-31,0.722865
2011-06-30,0.6357571428571428
2011-07-31,1.3949636363636364
2011-08-31,1.6756681818181818
2011-09-30,0.6853190476190476
2011-10-31,0.4496875
2011-11-30,0.5865
